"","x"
"1","drug"
"2","weed"
"3","marijuana"
"4","cannabi"
"5","420"
"6","pot"
"7","joint"
"8","molli"
"9","booz"
"10","alcohol"
"11","wine"
"12","vodka"
"13","gin"
"14","tequila"
"15","reefer"
"16","bowl"
"17","cocain"
"18","coke"
"19","blow"
"20","inject"
"21","snort"
"22","dope"
"23","drunk"
"24","high"
"25","trip"
"26","acid"
"27","lsd"
"28","shroom"
"29","blunt"
"30","beer"
"31","smoke"
"32","toke"
"33","kush"
"34","blaze"
"35","whiskey"
"36","stone"
"37","pop"
"38","ecstasi"
"39","can"
"40","perc"
"41","tab"
"42","zoot"
"43","withdraw"
"44","overdos"
"45","od"
"46","stoner"
"47","addict"
"48","needl"
"49","bong"
"50","bottl"
"51","rum"
"52","smack"
"53","inhal"
"54","lighter"
"55","parti"
