"","x"
"1","love"
"2","marriag"
"3","love"
"4","sex"
"5","heart"
"6","fuck"
"7","relationship"
"8","miss"
"9","babi"
"10","lone"
"11","honey"
"12","dear"
"13","sweeti"
"14","beauti"
"15","handsom"
"16","cute"
"17","hot"
"18","sexi"
"19","darl"
"20","fall"
"21","girl"
"22","man"
"23","woman"
"24","boy"
"25","want"
"26","desir"
"27","lust"
"28","passion"
"29","need"
"30","togeth"
"31","ex"
"32","romanc"
"33","breakup"
"34","rose"
"35","sweet"
"36","kiss"
"37","hug"
"38","hold"
"39","devot"
"40","feel"
"41","bodi"
"42","husband"
"43","wife"
"44","girlfriend"
"45","boyfriend"
"46","touch"
